,Unnamed: 0,_id,text,task_1,task_2
13,488,60c5d6bf5659ea5e55def33b,yeah when she's finally done w you you wanna pop back into her life fuck off,HOF,PRFN
16,2875,60c5d6bf5659ea5e55def23a,now i cant even get my tattoos bc this man is being a cunt ! tf bro ,HOF,PRFN
20,2482,60c5d6bf5659ea5e55df016c,One thing I cant stand is people talking out the neck when they dont know shit....,HOF,PRFN
26,4122,60c5d6bf5659ea5e55defbf5,If you dont give a damn then I dont give no FUCK,HOF,PRFN
48,3491,60c5d6bf5659ea5e55def3de,is there rnbo lore on you know whos stream  damn it.... im in class anyway but.... fuck... ran bow lore is ran bow lore....,HOF,PRFN
55,3883,60c5d6bf5659ea5e55df01c2,"my neurodivergent ass Hates the way those Saniderm bandages feel in the crook of my elbow right now  the tattoo barely touches the crease of my elbow, but the bandage goes into my ditch and it feels Icky. catch me taking like 12 showers in 2 days to make this shit peel off ASAP",HOF,PRFN
59,479,60c5d6bf5659ea5e55def40e,A bitch will fuck yo nigga yo opp yo daddy and fav cuz but soon as you get bloody all hell break lose ....,HOF,PRFN
79,2935,60c5d6bf5659ea5e55df0109,damn damson asked for some transparency and they made him deactivate,NOT,NONE
80,3826,60c5d6bf5659ea5e55df00f7,Gonna start being more of an asshole to dickhead drivers. Been inches from getting hit 2 times in the past week now,HOF,PRFN
82,677,60c5d6bf5659ea5e55def5cc,bollocks i need shows to watch,HOF,PRFN
88,4534,60c5d6bf5659ea5e55def4f9,"""God, did you hear about that stupid guy who works at Burger King who is a total asshole? I think his name is Arin""",HOF,PRFN
109,1911,60c5d6bf5659ea5e55defe53,I love watching the nut falling out of my pussy and ass ,HOF,PRFN
113,1227,60c5d6bf5659ea5e55def987,just spotted a cheater on the ESEA client... truly unlucky. need to ban this garfield motherfucker....,HOF,PRFN
117,2241,60c5d6bf5659ea5e55df003e,"Fuck pre workout, just piss me off",HOF,PRFN
118,1473,60c5d6bf5659ea5e55defc83,ranboo you incredible son of a bitch youve done it again my friend youve raised the bar for us all and did so flawlessly,HOF,OFFN
131,154,60c5d6bf5659ea5e55def199,Just seen my ex fianc for the first time in like 2 years and all I can say is bullets were dodged. Karma has punched his hairline back a fucker ,HOF,PRFN
133,3986,60c5d6bf5659ea5e55def741,This the meek we need fuck that slow singing shit he be doing,HOF,PRFN
141,183,60c5d6bf5659ea5e55def2ca,This just shows what a twat Southgate is.  Henderson been injured &amp; still not confident on his fitness  YET  JWP has not missed a single minute of the season &amp; doesn't get picked.  No interest in watching the euros at all,HOF,PRFN
149,4874,60c5d6bf5659ea5e55defa26,Box O' Jokes time! - My mom never saw the irony in calling me son-of-a-bitch. - - Box ha and ha and ha!,HOF,PRFN
167,1097,60c5d6bf5659ea5e55def988,"That moment in the fucking when your finger is hooked up inside your lovers pussy, and youre all but lifting them off the bed by their G-spot and they just keep cumming  Thats  fun.  Lotta fun.",HOF,PRFN
173,2222,60c5d6bf5659ea5e55df0036,Lindsey Graham is a total shitbag.,HOF,OFFN
186,3778,60c5d6bf5659ea5e55df0192,"Trust me...if I like you I will dm you hey six times, then send 4 dick pics before getting very impatient for you to love me. Its gonna be beautiful. ",HOF,PRFN
198,1990,60c5d6bf5659ea5e55df004c,"It's really easy to get out negative emotions but when you have an abundance of love and shit and have no direction for these emotions, what kind of a negative impact does it have on you to experience good emotions, but have no direction for them?",NOT,NONE
207,2539,60c5d6bf5659ea5e55df03a5,5 at the back scum cunt 4 right backs and 4 centre backs balding fuck going out in the round of 16,HOF,PRFN
208,583,60c5d6bf5659ea5e55def55b,i've come to make an announcement: shadow the hedgehog is a bitch ass motherfucker.,HOF,PRFN
209,4800,60c5d6bf5659ea5e55def8a1,Why is Johnson trying to make us all American? The twat.,HOF,PRFN
214,1201,60c5d6bf5659ea5e55def9c7,Damn I really wish I was in a band again,NOT,NONE
217,2368,60c5d6bf5659ea5e55df023a,Iono my head giver radar usually be on point if I think she can eat the dick Im usually corrected ,HOF,PRFN
224,124,60c5d6bf5659ea5e55def271,Lifes a bitch so I had to pimp it,HOF,PRFN
226,1989,60c5d6bf5659ea5e55df0039,bts will never fuck you i am a lesbian,HOF,PRFN
235,3248,60c5d6bf5659ea5e55df03b9,Is it common for djs and artists to not get paid at an event charging $200-$300+ a ticket? Cuz what the fuck? ,HOF,PRFN
250,134,60c5d6bf5659ea5e55def141,its always a bitch screaming bloody murder,HOF,PRFN
273,3290,60c5d6bf5659ea5e55def150,He always go to work in your house whenever your wife did not go to work and alone in house whiles the children are in school and you don't see anything wrong with it. I hear say the dick is long and good. chairman open your eyes. You work in a different city too.,HOF,PRFN
286,2248,60c5d6bf5659ea5e55df00fc,LOOOOOOOOOL HOLY SHIT,NOT,NONE
299,4168,60c5d6bf5659ea5e55defaf4,"I find it quite remarkable that literally Lucifer the lightbearer can state things that nobody knows, of vital importance to the survival of the human race, and on a good day, one person may give a like, but some numpty twatters on a load of bollocks and thousands retweet it.",HOF,PRFN
300,291,60c5d6bf5659ea5e55def37c,you big fucking dumbass learn to be a normal fuxking person whos not an asshole,HOF,PRFN
304,1818,60c5d6bf5659ea5e55defda8,Youre weak. Theres no escaping my control. Send to feel release little fucker.    findom paypig finD brat ,HOF,PRFN
316,1780,60c5d6bf5659ea5e55defd92,bitch this bloody mary taste like crawfish lmao,HOF,PRFN
318,656,60c5d6bf5659ea5e55def58f,Bloody hell,HOF,PRFN
319,510,60c5d6bf5659ea5e55def38a,"Every time I think you hit a ceiling, you just keep raising the bar. You are like the Michael Jordan of being a son of a bitch.",HOF,PRFN
334,2658,60c5d6bf5659ea5e55df04de,"Amazing. You work late and think, fuck it Ill get a Five Guys, they shut at 9... nah. Closed up.   Welcome to Dundee the city that is unable to stay awake",HOF,PRFN
347,644,60c5d6bf5659ea5e55def656,"Bitch, I'm Bloody Murder!!!!!!",HOF,PRFN
357,3095,60c5d6bf5659ea5e55df0415,right who gave astrid a ticket own up you shit cunt,HOF,PRFN
358,716,60c5d6bf5659ea5e55def526,"How to political correct the axis of piss and shit and it's degenerate supporter,? Rip them all off the internet entirely . Also blow up the government and media of Iran so it will no longer hack, sprewing distraction within neighboring and western countries. 1/2",HOF,PRFN
359,2734,60c5d6bf5659ea5e55df02be,visual hole stans coming at ryujin's pretty face? motherfucker everyone,HOF,PRFN
372,1900,60c5d6bf5659ea5e55defd50,"Yeah its an edit. Damn Everyones so good at this, ",NOT,NONE
376,4280,60c5d6bf5659ea5e55defd12,Me after a day in that bloody chair : ahh days done let's go put books and plants on your new shelves. My back : BWAHAHAHAAHAHAHAHAH BITCH PLS. LAY DOWN.,NOT,NONE
382,1767,60c5d6bf5659ea5e55defdd6,HAPPY PRIDE MONTH IM GAY AS FUCK,HOF,PRFN
385,2189,60c5d6bf5659ea5e55deffb9,who let shinee name their lightstick...what the actual FUCK is shating star,HOF,PRFN
388,4469,60c5d6bf5659ea5e55defd05,Nicholas - Pimp Brown Jr,HOF,PRFN
396,3733,60c5d6bf5659ea5e55deff4d,My ex friends probably call me a whore or something,HOF,PRFN
403,2844,60c5d6bf5659ea5e55df0485,Dont be talking about dark skinned women and have the nerve to have a wolf pussy shadow on yo face bitch,HOF,PRFN
430,1413,60c5d6bf5659ea5e55defb50,Although I doublecheck with Tarot because Gabriel can be a twat.,HOF,OFFN
433,1481,60c5d6bf5659ea5e55defba9,"My president is a pussy, he blocks he's comment section..hahaha.. who does that ?",HOF,OFFN
439,3337,60c5d6bf5659ea5e55def25c,"Along with autistics; magpies and stains on the upholstery, but I wish they would all just fuck off!",HOF,OFFN
449,4251,60c5d6bf5659ea5e55defb5f,Narcissists piss me the fuck off!!,HOF,HATE
455,3814,60c5d6bf5659ea5e55df0151,Just sat for 5 hrs reading a book because we have 0 appointments and literally 20 minutes before we were going to leave for the day some fuck comes in to book a walk in and hasnt come back yet lmao talk about homophobia!,HOF,PRFN
463,174,60c5d6bf5659ea5e55def1f3,Bitch you cant fuck with me if you wanted to ,HOF,PRFN
465,2029,60c5d6bf5659ea5e55df007e,"I think it's funny that the chicks who peddled fake molly and snorted/took it every other weekend are some of the ones telling me not to trust the vaccine. girl, I saw you blow molly off a sink, shut the fuck up.",HOF,PRFN
468,4203,60c5d6bf5659ea5e55defbfd,oh you motherfucker,HOF,PRFN
475,73,60c5d6bf5659ea5e55def120,nfts are so easy you just open picsart and fuck around on the adjustments the hit send,HOF,PRFN
492,5097,60c5d6bf5659ea5e55def188,Bloody hell Ancelotti couldnt announce that quick enough could he. Fucking hell Carlo keep you head down for a few days pal and announce it on weekend ,HOF,PRFN
499,1317,60c5d6bf5659ea5e55def7ca,THERES A NEW DENTIST HERE AND GOD DAMN,NOT,NONE
512,4201,60c5d6bf5659ea5e55defbd7,i cant believe this months two fuvking years since dnp came out. What the Fuck,HOF,PRFN
524,1779,60c5d6bf5659ea5e55defd91,"Oh and by the way, when Little Shop of Horrors' ""Mean Green Mother from Outer Space"" uses ""mother"" it actually means ""Mean Green Motherfucker from Outer Space"" and is intended only for your amusement.",HOF,PRFN
525,1254,60c5d6bf5659ea5e55def895,Best thing to do for urself is not giving a fuck about what people think. U like rocks? Collect that shit. U wanna try wearing something daring? Do it u beautiful motherfucker.,NOT,NONE
526,2323,60c5d6bf5659ea5e55df025a,Omo Pepsi don cost well e no choke me ooo anyway way my own dick self don cost una go suffer ,HOF,PRFN
538,598,60c5d6bf5659ea5e55def539,i feel bad for giving him a viewer  give lore now fucker,HOF,PRFN
551,2830,60c5d6bf5659ea5e55df04a0,jade the grown ass woman who liked the girl she babysat? dont piss me off,HOF,PRFN
554,502,60c5d6bf5659ea5e55def499,"I thought a bitch that be speaking on me but she cant get her nigga back, said sum?",HOF,PRFN
557,96,60c5d6bf5659ea5e55def116,"Why i just walk by my two sisters and I hear one of em say to the other who cares? you seen my vagina, you shaved my asshole ",HOF,PRFN
562,1991,60c5d6bf5659ea5e55df0074,lakshmi is the fakest bitch in the world,HOF,PRFN
563,4246,60c5d6bf5659ea5e55defacd,Yeahhh nah. Im a whole sarcastic dick head once youve angered me.,HOF,PRFN
570,2555,60c5d6bf5659ea5e55df02f9,its everyday shag my mentions but never me,HOF,PRFN
580,4072,60c5d6bf5659ea5e55defbdc,When you see a shorty looking fine asf and you cant decide if you tryna simp it out or pimp it out ,HOF,PRFN
582,898,60c5d6bf5659ea5e55def76a,"denki reluctantly lets todoroki go, but not without roughly shoving him back towards the door. ""now fuck off.""",HOF,PRFN
594,3088,60c5d6bf5659ea5e55df0344,Oh shit! Thats alot of love! Thank you all!,NOT,NONE
600,2702,60c5d6bf5659ea5e55df04b9,absolute whore for blueberry coffee ill say it,HOF,PRFN
608,1381,60c5d6bf5659ea5e55def7ed,Just letting u all know in advance that im gonna dress like a total whore when i get top surgery,NOT,NONE
611,4205,60c5d6bf5659ea5e55defc20,Heard my friend talk shit about me behind my back. But you know what? I actually regret calling her trash SHES A TIGHT WHORE THAT STINKS PERFUME,HOF,OFFN
613,1928,60c5d6bf5659ea5e55defe31,Now u know damn well thats two dif levels. Someone who got Grammys y makes music that helped me thru everyday darkness thru sound.. better then mfs who physically there with me..,HOF,PRFN
635,1581,60c5d6bf5659ea5e55defc6c,There's no fool like an old fool. Hmmmmmm  i wonder who got Burnt yet again by the Sun ???? Answers on a postcard to TWAT in Deal.  Xxx,HOF,PRFN
640,3700,60c5d6bf5659ea5e55deff00,idek why im getting lit by myself i can see me now beating this bitch bloody. ,HOF,HATE
657,801,60c5d6bf5659ea5e55def661,I LOVE NIS' gJO SO MUCH?!! he's so creepy... an absolute icon.. an absolute shitbag two paras in and I feel horny.,HOF,PRFN
678,934,60c5d6bf5659ea5e55def752,MJG on PIMP HARD.... HEAT,HOF,PRFN
689,3113,60c5d6bf5659ea5e55df03c4,IM THAT BITCH AND THATS FASHOOOOOOO,NOT,NONE
690,3897,60c5d6bf5659ea5e55df0127,"It's honestly laughable how much rainbows piss certain demographics off. Grow the fuck up, you big bunch of babies.",HOF,OFFN
694,4540,60c5d6bf5659ea5e55def5e8,And yet again I will be missing a lore stream because Im doing shit with my family:D /s,HOF,PRFN
704,2156,60c5d6bf5659ea5e55df002f,FK set clashes are haunting me in my fuckin sleep...anxiety high as a mother fucker,HOF,PRFN
708,4239,60c5d6bf5659ea5e55defba1,That shit giving hurt whore ,HOF,PRFN
715,1830,60c5d6bf5659ea5e55defd08,I broke u off when them fuck niggas wouldnt give u a dime I aint owe u shit nigga I just wanted to see u shine,HOF,PRFN
