,index,Unnamed: 0,_id,text,task_1,task_2
0,89,590,60c5d6bf5659ea5e55def5c0,Thats why the whole thing is a load of crap. Corporate bollocks.,HOF,HATE
1,215,3968,60c5d6bf5659ea5e55def7da,You know that story of father son and donkey. These liberals are like those villagers in the story,HOF,HATE
2,262,2874,60c5d6bf5659ea5e55def237,"usa citizens did, all of you, nobody gave a fuck about skin color while you were profiting out of latin american resources",HOF,HATE
3,431,4226,60c5d6bf5659ea5e55defbed,Bitch i hope you also go through the pain we Indian are going through i hope every Chinese feel that pain that they bloody have created,HOF,HATE
4,449,4251,60c5d6bf5659ea5e55defb5f,Narcissists piss me the fuck off!!,HOF,HATE
5,640,3700,60c5d6bf5659ea5e55deff00,idek why im getting lit by myself i can see me now beating this bitch bloody.,HOF,HATE
6,691,4923,60c5d6bf5659ea5e55def797,If you dont fake then why the hell there is scarcity of oxygen cylinders in all hospitals ? Why people are dying ? What you did was only headline mgmt. so far and gave vaccine to other countries without planning for local requirements,HOF,HATE
7,974,3415,60c5d6bf5659ea5e55def441,"People are crying because of Mr Modi , it's because of Modi that people are loosing their loved ones , international media and international experts believe he is responsible for all this , Shame on people who support such petty p",HOF,HATE
8,1072,4935,60c5d6bf5659ea5e55def870,"Dawg talk to some women who actually wear burkha, its not always a sign of oppression, some women actually find power in it! Stop casually being a islamophobe . Stop coming after others religion. You are just a narcissistic vi",HOF,HATE
9,1076,3866,60c5d6bf5659ea5e55df0197,"Bloody cover up.Where were his security detail?All those trying desperately to remove him from office have finally succeeded through murder.....y'all know yourselves....mind you,'KARMA IS A BITCH'",HOF,HATE
10,1096,3026,60c5d6bf5659ea5e55df030d,"You are incapable to take care of Karyakartas well-being. Bengal is burning with killing, rape,loot and destruction. But instead of arrest Momta/ imposing president rule ,you are into Dharna which is height of incompetence. More than 1.25 lakhs left",HOF,HATE
11,1449,3681,60c5d6bf5659ea5e55deffd6,"BJP has leaders that can deliver leadership and competence, no need to support someone who only thinks of himself and ha",HOF,HATE
12,1465,2970,60c5d6bf5659ea5e55df0134,I hate people who double check my work. Bitch you aint even know what you was looking for before you called in here ?????,HOF,HATE
13,1641,5112,60c5d6bf5659ea5e55def1af,"What is more disturbing that a PM uses vulgar language, mocks opponents &amp; is worried about his personal aspirations when 1000s are dying. You both are mute spectators &amp; carry the blame &amp; shame. U belong to the old",HOF,HATE
14,1737,4818,60c5d6bf5659ea5e55defa5a,"Hope you arent referring to mckeehan. Hes an asshole. If someone is shy thats one thing. However, being on the spectrum gives you the right to privacy, not to treat ppl like shit. But yes overall def agree. Theres no obligation to",HOF,HATE
15,1833,2105,60c5d6bf5659ea5e55deff63,Id say 99.9% of these companies make up their own statistics to fool the gullible and piss off the educated,HOF,HATE
16,1868,3330,60c5d6bf5659ea5e55def2bb,some People feel frustrated when they lose some thing... TMC won in west bengal.. Bjpians there might have become frustrated and got hostile.. So bjp is fascist party and TMC is just another party... Enough is enough... Bjp should get the fc,HOF,HATE
17,1958,664,60c5d6bf5659ea5e55def4e1,"Assaulting and harassing people is violence, asshole.",HOF,HATE
18,1961,4484,60c5d6bf5659ea5e55deffdd,I would have let them climb into my boat on their own power. I would have told them to sit in the back of the boat and to keep their damn mouths shut. When we were within a reasonable distance from the shore given the depth of my boat. I woul,HOF,HATE
19,2078,3339,60c5d6bf5659ea5e55def2a1,"Wouldn't surprise me if the GOP would LOVE to piss off enough military Magats that would end up gleefully abandoning the service &amp; join Trump as his private army....&amp; with equipment in hand for a ""military style coup attempt""!",HOF,HATE
20,2157,734,60c5d6bf5659ea5e55def51c,this John Cena we are talking about he will try and be nice anywhere he goes it is not his fault for China and Taiwan being shitty countries damn I swear you bloody Americans bitch about someone for not doing things you want them to do let them live their lives damn,HOF,HATE
21,2360,4426,60c5d6bf5659ea5e55defd45,"Happy pride month, especially to those who have never felt safe enough to be open about themselves. A big ""fuck you"" to anyone who needs to ""process"" you being who you are.",HOF,HATE
22,2464,4085,60c5d6bf5659ea5e55defb5e,whore isnt even an insult at this point idk why men use it. like how am i gonna be offended by a word that men brainlessly use against virgins it has no meaning,HOF,HATE
23,2545,4052,60c5d6bf5659ea5e55defc33,When will you stop mixing religion with politics? I feku promised temples and statues is ruling from Delhi. That is why people doesn't have jobs and good medical treatment. We w,HOF,HATE
24,2621,2936,60c5d6bf5659ea5e55df010d,"You are just money mongering pseudo philanthropist, i think if you give vaccine of 150 you would not have been dealing in loss, and you are chargin 300 after so much controversy saying it as philanthropist act, please have some shame",HOF,HATE
25,2668,4957,60c5d6bf5659ea5e55defaac,"Just saw a prolapsed asshole, aka something that I never wanted to or needed to see. I hate the internet",HOF,HATE
26,2841,4507,60c5d6bf5659ea5e55deffa8,"How cruel this , how come this young age he get this extreme level hatred. People are dying of Oxygen shortage and bed shortage. Every day more than 4000 ppl r dying across India, does these 17 ppl r reason for Mod",HOF,HATE
27,2899,4490,60c5d6bf5659ea5e55deff2e,"Well Everton, I would like to place on record my absolute disgust at the behaviour of the outgoing manager. I dont want to get my news on such a momentous change to our club from some shitbag in Spain. Message ends.",HOF,HATE
28,2959,3538,60c5d6bf5659ea5e55def4c6,"I dont think we need to say anything. We dont need to tell our opinion. Just look around you and your social media accounts. Lakhs of people are literally begging for either o2, beds or medicines . And modiji was busy in election a",HOF,HATE
29,3121,4433,60c5d6bf5659ea5e55defdec,"Ohh stfu you soft body, it goes either way, doesn't matter the color. If the dude is a shitbag then I'll despise him regardless but if he carries himself well and she's happy then idgaf who she's with. Some of us are a bit more t",HOF,HATE
30,3163,4126,60c5d6bf5659ea5e55defc17,"You re wrong, The argument was healthcare infrastructure being better then most countries to the size and density of population. It is the incompetent handling of the covid crisis and misuse of funds by the Go",HOF,HATE
31,3197,3085,60c5d6bf5659ea5e55df04df,Oh no. Shit like this will just piss right off for the rest of the dam day.,HOF,HATE
32,3234,4397,60c5d6bf5659ea5e55defd2b,"Youre either incapable of or unwilling to read. Acknowledging that something isnt true isnt defending. And as much as I hate white people I still have no interest in spreading misinformation. Theres enough true, awful YT nonsens",HOF,HATE
33,3310,2945,60c5d6bf5659ea5e55df024f,New parliament will be a shitbag as compared to the old majestic parliament House.,HOF,HATE
34,3763,3270,60c5d6bf5659ea5e55def161,"No wonder we Hindus get belted all the time...BJP is making a mockery out of itself, while the innocent Karyakartas are beaten",HOF,HATE
35,3782,340,60c5d6bf5659ea5e55def3b0,Looking forward to the Ally pride scheme from you! I ran it last year to support and additionally piss off the haters.,HOF,HATE
